Subject,Session,index,Trial,SOA,Answer
7,1,874,1,1000,0
7,1,1673,2,-600,1
7,1,2473,3,-400,1
7,1,3287,4,-500,1
7,1,4087,5,100,0
7,1,4907,6,500,0
7,1,5717,7,-200,0
7,1,6516,8,-1500,0
7,1,7328,9,-400,1
7,1,8130,10,-1100,1
7,1,8928,11,-1100,0
7,1,9734,12,-500,1
7,1,10529,13,-200,1
7,1,11329,14,-800,1
7,1,12127,15,-200,1
7,1,12998,16,1000,0
7,1,13793,17,-1500,0
7,1,14648,18,500,0
7,1,15561,19,1000,0
7,1,16386,20,-600,1
7,1,17233,21,-1100,1
7,1,18027,22,-800,1
7,1,18834,23,-400,1
7,1,19627,24,-400,1
7,1,20426,25,100,1
7,1,21221,26,-1500,0
7,1,22031,27,-600,1
7,1,22829,28,-500,1
7,1,23617,29,100,1
7,1,24444,30,-2000,0
7,1,25242,31,-2000,0
7,1,26035,32,100,1
7,1,26831,33,-2000,0
7,1,27658,34,-2000,0
7,1,28452,35,-600,1
7,1,29307,36,1000,0
7,1,30144,37,500,1
7,1,30947,38,-800,1
7,1,31743,39,-1500,1
7,1,32536,40,-1100,1
7,1,33369,41,500,0
7,1,34165,42,-500,1
7,1,34992,43,-200,1
7,1,35783,44,-800,1
7,2,835,1,500,0
7,2,1629,2,-1500,0
7,2,2428,3,-1500,0
7,2,3224,4,100,1
7,2,4017,5,-200,1
7,2,4811,6,-2000,0
7,2,5607,7,-800,1
7,2,6469,8,1000,0
7,2,7322,9,1000,0
7,2,8116,10,100,1
7,2,8928,11,-400,1
7,2,9721,12,-1500,0
7,2,10573,13,1000,1
7,2,11370,14,-400,1
7,2,12164,15,-1100,1
7,2,12959,16,-600,1
7,2,13787,17,500,0
7,2,14584,18,-800,1
7,2,15396,19,-600,1
7,2,16194,20,-2000,0
7,2,17016,21,-500,1
7,2,17812,22,-500,1
7,2,18642,23,500,0
7,2,19492,24,1000,0
7,2,20295,25,-800,1
7,2,21090,26,-500,1
7,2,21889,27,-800,1
7,2,22713,28,500,1
7,2,23507,29,-1100,1
7,2,24300,30,-500,1
7,2,25123,31,-1100,1
7,2,25924,32,100,1
7,2,26722,33,-1500,0
7,2,27523,34,-2000,0
7,2,28325,35,-2000,1
7,2,29134,36,-200,1
7,2,29939,37,-600,1
7,2,30729,38,-200,0
7,2,31504,39,-1100,1
7,2,32297,40,100,1
7,2,33092,41,-200,1
7,2,33881,42,-400,0
7,2,34663,43,-600,1
7,2,35462,44,-400,1
7,3,803,1,-500,1
7,3,1638,2,-1100,0
7,3,2428,3,-500,1
7,3,3240,4,-200,1
7,3,4037,5,-600,1
7,3,4831,6,-1500,0
7,3,5656,7,500,0
7,3,6488,8,100,0
7,3,7282,9,100,1
7,3,8078,10,-1100,0
7,3,8876,11,-1500,0
7,3,9679,12,-1100,1
7,3,10475,13,-2000,0
7,3,11269,14,-2000,0
7,3,12074,15,-200,1
7,3,12893,16,500,0
7,3,13683,17,-400,1
7,3,14479,18,-400,1
7,3,15275,19,100,1
7,3,16074,20,-600,1
7,3,16927,21,1000,0
7,3,17723,22,-1100,1
7,3,18534,23,-200,0
7,3,19387,24,1000,0
7,3,20208,25,100,1
7,3,21039,26,500,0
7,3,21833,27,-800,1
7,3,22635,28,-500,1
7,3,23447,29,-1500,0
7,3,24240,30,-500,1
7,3,25037,31,-600,1
7,3,25857,32,500,1
7,3,26653,33,-600,1
7,3,27449,34,-800,0
7,3,28253,35,-200,1
7,3,29048,36,-800,1
7,3,29914,37,1000,0
7,3,30706,38,-400,1
7,3,31529,39,-2000,0
7,3,32326,40,-800,1
7,3,33177,41,1000,0
7,3,33970,42,-2000,0
7,3,34767,43,-400,1
7,3,35575,44,-1500,1
7,4,852,1,1000,0
7,4,1649,2,-400,1
7,4,2443,3,-400,1
7,4,3238,4,-2000,0
7,4,4033,5,-400,1
7,4,4831,6,-200,1
7,4,5624,7,-600,1
7,4,6443,8,500,0
7,4,7238,9,-1500,0
7,4,8031,10,-800,1
7,4,8824,11,-1500,0
7,4,9750,12,-800,1
7,4,10552,13,100,1
7,4,11349,14,100,0
7,4,12153,15,-2000,0
7,4,12956,16,-2000,0
7,4,13779,17,-400,1
7,4,14590,18,100,1
7,4,15386,19,-1100,1
7,4,16204,20,-200,1
7,4,17017,21,500,1
7,4,17836,22,500,1
7,4,18647,23,-500,0
7,4,19478,24,500,0
7,4,20282,25,-600,1
7,4,21075,26,-600,1
7,4,21872,27,-1100,1
7,4,22675,28,-2000,1
7,4,23500,29,-500,0
7,4,24302,30,-200,1
7,4,25100,31,-500,1
7,4,25894,32,-800,0
7,4,26692,33,-1500,1
7,4,27489,34,-200,1
7,4,28341,35,1000,0
7,4,29162,36,-800,0
7,4,29977,37,-1100,1
7,4,30778,38,-1500,0
7,4,31633,39,1000,0
7,4,32430,40,-600,1
7,4,33248,41,-1100,0
7,4,34062,42,-500,0
7,4,34860,43,100,0
7,4,35714,44,1000,1
7,5,806,1,100,0
7,5,1608,2,-2000,1
7,5,2420,3,-400,1
7,5,3224,4,-600,1
7,5,4018,5,-1100,1
7,5,4872,6,1000,0
7,5,5670,7,-200,1
7,5,6477,8,-2000,0
7,5,7282,9,-1100,1
7,5,8101,10,500,1
7,5,8907,11,-500,0
7,5,9724,12,500,0
7,5,10518,13,100,0
7,5,11321,14,-2000,0
7,5,12181,15,1000,1
7,5,13039,16,1000,1
7,5,13837,17,-600,1
7,5,14639,18,-600,1
7,5,15447,19,100,1
7,5,16302,20,1000,0
7,5,17104,21,-800,0
7,5,17911,22,-200,1
7,5,18726,23,-1500,1
7,5,19521,24,-1500,0
7,5,20333,25,-400,1
7,5,21129,26,-1100,1
7,5,21948,27,500,0
7,5,22755,28,-800,1
7,5,23574,29,500,0
7,5,24384,30,-500,1
7,5,25179,31,-200,1
7,5,25979,32,-1500,1
