Subject,Session,index,Trial,SOA,Answer
8,1,791,1,-800,1
8,1,1579,2,100,1
8,1,2366,3,-200,0
8,1,3157,4,-200,1
8,1,3948,5,-1100,0
8,1,4764,6,500,0
8,1,5551,7,-800,1
8,1,6344,8,100,0
8,1,7132,9,-1500,0
8,1,7920,10,-600,1
8,1,8714,11,-1500,0
8,1,9501,12,-1100,0
8,1,10292,13,-2000,0
8,1,11080,14,-2000,0
8,1,11925,15,1000,0
8,1,12716,16,-500,1
8,1,13562,17,1000,0
8,1,14354,18,-200,1
8,1,15142,19,-800,1
8,1,15931,20,-800,1
8,1,16723,21,-2000,0
8,1,17512,22,-600,1
8,1,18303,23,-2000,0
8,1,19091,24,-600,1
8,1,19880,25,-200,0
8,1,20670,26,-400,1
8,1,21458,27,-1100,1
8,1,22249,28,-400,1
8,1,23035,29,-600,1
8,1,23826,30,-1500,0
8,1,24673,31,1000,0
8,1,25522,32,1000,0
8,1,26313,33,-500,0
8,1,27101,34,100,0
8,1,27892,35,-400,1
8,1,28704,36,500,0
8,1,29496,37,-500,1
8,1,30309,38,500,0
8,1,31120,39,500,1
8,1,31912,40,-400,1
8,1,32699,41,-500,1
8,1,33490,42,-1100,0
8,1,34278,43,100,1
8,1,35070,44,-1500,0
8,2,788,1,-2000,0
8,2,1578,2,-400,1
8,2,2367,3,-200,1
8,2,3159,4,-1100,0
8,2,4006,5,1000,0
8,2,4794,6,-1100,1
8,2,5585,7,-2000,0
8,2,6372,8,-800,1
8,2,7163,9,-1100,1
8,2,7954,10,100,0
8,2,8743,11,-500,0
8,2,9532,12,-800,1
8,2,10319,13,-500,0
8,2,11112,14,-400,1
8,2,11902,15,-800,1
8,2,12693,16,-600,1
8,2,13481,17,-800,1
8,2,14275,18,-500,0
8,2,15062,19,-600,1
8,2,15847,20,-2000,0
8,2,16634,21,-500,1
8,2,17424,22,100,0
8,2,18215,23,-1500,1
8,2,19003,24,-1500,0
8,2,19796,25,-2000,0
8,2,20585,26,-200,1
8,2,21373,27,100,0
8,2,22159,28,-200,1
8,2,23006,29,1000,0
8,2,23856,30,1000,0
8,2,24645,31,-400,1
8,2,25435,32,100,0
8,2,26224,33,-1100,1
8,2,27011,34,-600,1
8,2,27862,35,1000,0
8,2,28676,36,500,0
8,2,29466,37,-1500,0
8,2,30256,38,-200,0
8,2,31075,39,500,0
8,2,31893,40,500,0
8,2,32681,41,-1500,0
8,2,33496,42,500,0
8,2,34285,43,-400,1
8,2,35077,44,-600,1
8,3,787,1,-200,0
8,3,1577,2,100,1
8,3,2363,3,-800,1
8,3,3154,4,-500,1
8,3,3945,5,-600,1
8,3,4735,6,-200,0
8,3,5526,7,-1100,1
8,3,6313,8,100,0
8,3,7104,9,-1100,1
8,3,7918,10,500,0
8,3,8711,11,-800,1
8,3,9554,12,1000,0
8,3,10343,13,-1500,0
8,3,11137,14,-600,0
8,3,11926,15,-400,1
8,3,12717,16,100,0
8,3,13503,17,-500,1
8,3,14350,18,1000,0
8,3,15147,19,-1500,1
8,3,15934,20,-1500,0
8,3,16727,21,-2000,0
8,3,17541,22,500,0
8,3,18334,23,-2000,0
8,3,19126,24,-500,0
8,3,19971,25,1000,0
8,3,20786,26,500,0
8,3,21573,27,-1100,1
8,3,22364,28,-600,1
8,3,23155,29,-1500,1
8,3,23944,30,-400,1
8,3,24749,31,-2000,0
8,3,25535,32,-400,1
8,3,26326,33,-400,1
8,3,27118,34,-2000,0
8,3,27908,35,100,0
8,3,28701,36,-800,1
8,3,29487,37,-200,1
8,3,30280,38,-500,1
8,3,31072,39,-1100,1
8,3,31921,40,1000,0
8,3,32707,41,-800,1
8,3,33496,42,-600,0
8,3,34312,43,500,0
8,3,35101,44,-200,0
8,4,789,1,-1100,0
8,4,1578,2,100,0
8,4,2364,3,-800,1
8,4,3180,4,500,0
8,4,3967,5,-400,1
8,4,4758,6,-500,1
8,4,5544,7,-800,1
8,4,6360,8,500,0
8,4,7173,9,500,1
8,4,7963,10,-1500,0
8,4,8757,11,-400,1
8,4,9544,12,-1100,1
8,4,10334,13,100,1
8,4,11180,14,1000,0
8,4,11971,15,-600,0
8,4,12760,16,100,1
8,4,13552,17,-1500,1
8,4,14341,18,-800,1
8,4,15129,19,-600,1
8,4,15922,20,-2000,0
8,4,16711,21,-1100,1
8,4,17525,22,500,0
8,4,18374,23,1000,0
8,4,19218,24,1000,0
8,4,20009,25,100,0
8,4,20797,26,-400,1
8,4,21589,27,-1500,0
8,4,22382,28,-2000,0
8,4,23174,29,-200,0
8,4,23965,30,-2000,0
8,4,24754,31,-600,1
8,4,25544,32,-400,1
8,4,26332,33,-2000,0
8,4,27125,34,-1500,0
8,4,27911,35,-1100,0
8,4,28700,36,-800,1
8,4,29490,37,-200,0
8,4,30279,38,-500,1
8,4,31070,39,-200,0
8,4,31858,40,-600,0
8,4,32649,41,-500,0
8,4,33496,42,1000,0
8,4,34285,43,-500,1
8,4,35077,44,-200,0
8,5,786,1,-600,1
8,5,1572,2,-200,1
8,5,2362,3,-1500,0
8,5,3149,4,-400,1
8,5,3966,5,500,0
8,5,4755,6,-600,1
8,5,5543,7,-1100,1
8,5,6331,8,-200,1
8,5,7145,9,500,0
8,5,7936,10,100,1
8,5,8784,11,1000,0
8,5,9576,12,-1500,0
8,5,10363,13,-1100,1
8,5,11150,14,-2000,1
8,5,11943,15,-2000,0
8,5,12731,16,-200,0
8,5,13521,17,-800,0
8,5,14309,18,-400,1
8,5,15095,19,-1100,1
8,5,15887,20,-400,1
8,5,16675,21,-1500,0
8,5,17465,22,-500,0
8,5,18255,23,-500,0
8,5,19046,24,-600,1
8,5,19835,25,-2000,0
8,5,20682,26,1000,0
8,5,21531,27,1000,0
8,5,22320,28,-500,1
8,5,23112,29,-600,1
8,5,23899,30,-800,1
8,5,24687,31,-400,1
8,5,25479,32,-800,1
8,5,26268,33,100,0
8,5,27118,34,1000,0
8,5,27906,35,-800,0
8,5,28722,36,500,0
8,5,29510,37,100,1
8,5,30298,38,-2000,0
8,5,31091,39,-500,0
8,5,31879,40,100,0
8,5,32670,41,-200,1
8,5,33458,42,-1100,1
8,5,34250,43,-1500,0
8,5,35063,44,500,0
