Subject,Session,index,Trial,SOA,Answer
4,1,790,1,-800,0
4,1,1581,2,-600,1
4,1,2377,3,-500,1
4,1,3168,4,-1500,0
4,1,3964,5,-500,1
4,1,4757,6,-200,1
4,1,5550,7,-600,0
4,1,6346,8,-500,1
4,1,7138,9,-400,0
4,1,7936,10,-2000,0
4,1,8728,11,-2000,0
4,1,9520,12,-800,1
4,1,10329,13,-2000,0
4,1,11118,14,100,0
4,1,11912,15,-500,1
4,1,12707,16,-200,1
4,1,13519,17,500,0
4,1,14313,18,100,0
4,1,15165,19,1000,0
4,1,15953,20,100,1
4,1,16745,21,-1100,0
4,1,17550,22,-600,0
4,1,18401,23,1000,0
4,1,19199,24,-400,0
4,1,19996,25,-1500,0
4,1,20790,26,-2000,0
4,1,21607,27,500,0
4,1,22412,28,-600,1
4,1,23204,29,-1100,0
4,1,24000,30,-1500,0
4,1,24788,31,-1100,0
4,1,25584,32,-200,1
4,1,26376,33,-1100,0
4,1,27169,34,-800,1
4,1,27965,35,-200,1
4,1,28767,36,-400,1
4,1,29559,37,-400,0
4,1,30408,38,1000,0
4,1,31196,39,-1500,0
4,1,32019,40,500,0
4,1,32811,41,100,1
4,1,33636,42,500,0
4,1,34432,43,-800,0
4,1,35283,44,1000,0
4,2,808,1,-200,0
4,2,1624,2,500,0
4,2,2415,3,-1100,0
4,2,3212,4,-2000,0
4,2,4002,5,-600,0
4,2,4796,6,-400,1
4,2,5599,7,-400,0
4,2,6390,8,100,0
4,2,7181,9,-1500,0
4,2,7972,10,-500,1
4,2,8831,11,1000,0
4,2,9614,12,-1500,0
4,2,10402,13,-1500,0
4,2,11192,14,-800,0
4,2,11984,15,-1100,0
4,2,12778,16,-1100,0
4,2,13607,17,500,0
4,2,14408,18,-800,0
4,2,15203,19,-2000,0
4,2,15999,20,-200,0
4,2,16793,21,100,0
4,2,17610,22,500,0
4,2,18464,23,1000,0
4,2,19257,24,-400,0
4,2,20086,25,500,0
4,2,20876,26,-2000,0
4,2,21671,27,-600,0
4,2,22465,28,-500,1
4,2,23253,29,-1500,0
4,2,24047,30,-800,0
4,2,24850,31,-1100,0
4,2,25644,32,-200,0
4,2,26436,33,-600,0
4,2,27230,34,100,0
4,2,28026,35,-500,1
4,2,28883,36,1000,0
4,2,29675,37,-400,1
4,2,30467,38,-800,1
4,2,31261,39,100,0
4,2,32113,40,1000,0
4,2,32918,41,-600,1
4,2,33721,42,-200,0
4,2,34515,43,-2000,0
4,2,35307,44,-500,0
4,3,792,1,-1100,0
4,3,1597,2,100,0
4,3,2388,3,-200,0
4,3,3184,4,-800,0
4,3,3984,5,-800,0
4,3,4776,6,-200,0
4,3,5572,7,-400,1
4,3,6366,8,-2000,0
4,3,7161,9,-400,0
4,3,7960,10,-1500,0
4,3,8786,11,500,0
4,3,9605,12,500,0
4,3,10398,13,-200,0
4,3,11188,14,-400,0
4,3,11980,15,-2000,0
4,3,12772,16,-600,0
4,3,13592,17,500,0
4,3,14390,18,-400,0
4,3,15246,19,1000,0
4,3,16039,20,-1100,0
4,3,16808,21,100,0
4,3,17660,22,1000,0
4,3,18456,23,-2000,0
4,3,19250,24,-500,0
4,3,20044,25,-1500,0
4,3,20838,26,-1500,0
4,3,21656,27,500,0
4,3,22453,28,-1100,0
4,3,23248,29,100,0
4,3,24041,30,-1100,0
4,3,24895,31,1000,0
4,3,25699,32,-2000,0
4,3,26488,33,100,0
4,3,27285,34,-600,0
4,3,28137,35,1000,0
4,3,28932,36,-800,1
4,3,29729,37,-500,0
4,3,30520,38,-500,0
4,3,31316,39,-800,0
4,3,32104,40,-200,0
4,3,32896,41,-500,1
4,3,33690,42,-1500,0
4,3,34481,43,-600,1
4,3,35278,44,-600,1
4,4,827,1,500,0
4,4,1617,2,-600,0
4,4,2411,3,-500,0
4,4,3204,4,-1100,0
4,4,4003,5,-2000,0
4,4,4800,6,-1100,0
4,4,5592,7,100,0
4,4,6388,8,-1100,0
4,4,7181,9,-200,1
4,4,7982,10,-600,0
4,4,8778,11,-500,0
4,4,9572,12,-1100,0
4,4,10368,13,-2000,0
4,4,11166,14,100,0
4,4,11968,15,-800,0
4,4,12763,16,-800,0
4,4,13555,17,-400,0
4,4,14347,18,-800,0
4,4,15143,19,-500,0
4,4,15937,20,-1500,0
4,4,16742,21,-200,0
4,4,17594,22,1000,0
4,4,18417,23,500,0
4,4,19220,24,-500,0
4,4,20017,25,100,0
4,4,20804,26,-1500,0
4,4,21624,27,500,0
4,4,22422,28,-2000,0
4,4,23216,29,-400,0
4,4,24065,30,1000,0
4,4,24859,31,-600,0
4,4,25654,32,-200,0
4,4,26450,33,-1500,0
4,4,27253,34,-200,0
4,4,28104,35,1000,0
4,4,28899,36,-400,0
4,4,29687,37,-600,1
4,4,30491,38,-1500,0
4,4,31287,39,100,0
4,4,32138,40,1000,0
4,4,32941,41,-800,0
4,4,33735,42,-2000,0
4,4,34551,43,500,0
4,4,35347,44,-400,0
4,5,796,1,-500,1
4,5,1599,2,-500,1
4,5,2387,3,-1100,0
4,5,3187,4,-1100,0
4,5,3981,5,-1500,0
4,5,4771,6,-600,0
4,5,5566,7,-200,0
4,5,6358,8,100,0
4,5,7150,9,-800,0
4,5,7946,10,-500,0
4,5,8742,11,-200,0
4,5,9535,12,-2000,0
4,5,10387,13,1000,0
4,5,11204,14,500,0
4,5,11997,15,-600,0
4,5,12790,16,-400,0
4,5,13587,17,-200,0
4,5,14382,18,-600,0
4,5,15175,19,100,0
4,5,16027,20,1000,0
4,5,16848,21,500,0
4,5,17642,22,-400,0
4,5,18435,23,-1500,0
4,5,19239,24,-500,0
4,5,20029,25,-200,0
4,5,20850,26,500,0
4,5,21703,27,1000,0
4,5,22555,28,1000,0
4,5,23357,29,-800,0
4,5,24152,30,-400,0
4,5,24969,31,500,0
4,5,25765,32,-2000,0
4,5,26559,33,-400,0
4,5,27351,34,-800,0
4,5,28156,35,100,0
4,5,28957,36,100,0
4,5,29749,37,-2000,0
4,5,30546,38,-800,0
4,5,31338,39,-600,0
4,5,32134,40,-2000,0
4,5,32929,41,-1500,0
4,5,33723,42,-1100,0
4,5,34521,43,-1500,0
4,5,35314,44,-1100,0
