Subject,FWHM,SD,S_window,PSS
1,665.61,282.66,632,-419
2,1170.84,497.21,1000,-556
3,852.01,361.81,804,-408
4,937.04,397.92,914,-714
5,1851.67,786.33,1503,-243
6,1600.57,679.7,1595,-537
7,1244.09,528.31,1096,-701
8,762.11,323.63,660,-873
9,805.3,341.98,712,-572
10,1001.58,425.33,1086,-961
11,1297.44,550.97,1444,-326
