Subject,Session,index,Trial,SOA,Answer
11,1,817,1,-600,0
11,1,1620,2,-800,0
11,1,2431,3,-800,0
11,1,3258,4,100,0
11,1,4088,5,-500,1
11,1,4918,6,-2000,0
11,1,5733,7,-1100,0
11,1,6558,8,-500,1
11,1,7371,9,100,0
11,1,8223,10,500,0
11,1,9031,11,-800,1
11,1,9892,12,1000,0
11,1,10765,13,1000,0
11,1,11589,14,500,1
11,1,12402,15,-200,1
11,1,13267,16,1000,0
11,1,14078,17,-500,1
11,1,14886,18,-400,1
11,1,15708,19,-200,1
11,1,16524,20,-200,1
11,1,17327,21,-1100,0
11,1,18152,22,500,0
11,1,18972,23,-2000,0
11,1,19804,24,500,0
11,1,20614,25,-1500,0
11,1,21420,26,-500,1
11,1,22236,27,-400,1
11,1,23041,28,-2000,0
11,1,23860,29,-1100,0
11,1,24660,30,-1500,0
11,1,25531,31,1000,0
11,1,26338,32,-600,1
11,1,27146,33,-400,1
11,1,27944,34,-1100,1
11,1,28744,35,-1500,0
11,1,29552,36,-600,1
11,1,30368,37,-2000,0
11,1,31160,38,-400,1
11,1,31971,39,-200,1
11,1,32788,40,-600,1
11,1,33599,41,-1500,0
11,1,34406,42,100,0
11,1,35214,43,100,1
11,1,36020,44,-800,1
11,2,811,1,-800,0
11,2,1631,2,-600,0
11,2,2502,3,1000,0
11,2,3303,4,-1500,0
11,2,4168,5,1000,0
11,2,4997,6,-1500,0
11,2,5807,7,-400,1
11,2,6639,8,-200,0
11,2,7454,9,-800,1
11,2,8257,10,-2000,0
11,2,9063,11,-600,1
11,2,9862,12,-1500,1
11,2,10701,13,-500,1
11,2,11508,14,-200,1
11,2,12332,15,-1100,0
11,2,13160,16,500,1
11,2,13962,17,-400,1
11,2,14764,18,-1500,0
11,2,15574,19,-400,1
11,2,16379,20,-1100,0
11,2,17225,21,-400,1
11,2,18039,22,-800,1
11,2,18863,23,-800,1
11,2,19656,24,100,0
11,2,20462,25,-2000,0
11,2,21270,26,-200,1
11,2,22142,27,1000,0
11,2,22944,28,-1100,0
11,2,23753,29,-1100,1
11,2,24587,30,-500,1
11,2,25400,31,-2000,0
11,2,26205,32,-500,1
11,2,27014,33,-600,1
11,2,27822,34,-200,1
11,2,28649,35,500,0
11,2,29449,36,100,0
11,2,30254,37,-500,1
11,2,31061,38,100,0
11,2,31892,39,500,0
11,2,32724,40,-600,1
11,2,33530,41,-2000,0
11,2,34339,42,100,0
11,2,35201,43,1000,0
11,2,36034,44,500,0
11,3,803,1,100,0
11,3,1602,2,-1500,0
11,3,2403,3,-500,1
11,3,3212,4,-1100,0
11,3,3999,5,-800,1
11,3,4803,6,-1100,1
11,3,5625,7,-200,0
11,3,6431,8,-400,1
11,3,7281,9,1000,0
11,3,8083,10,-500,1
11,3,8910,11,500,0
11,3,9716,12,-800,1
11,3,10509,13,-400,1
11,3,11311,14,-800,1
11,3,12114,15,-1500,0
11,3,12932,16,-2000,0
11,3,13721,17,-500,1
11,3,14545,18,-600,1
11,3,15354,19,-1500,0
11,3,16169,20,-2000,0
11,3,16979,21,-800,1
11,3,17840,22,1000,0
11,3,18650,23,-1100,1
11,3,19480,24,500,0
11,3,20294,25,100,0
11,3,21096,26,100,0
11,3,21906,27,-400,1
11,3,22715,28,-500,1
11,3,23567,29,1000,0
11,3,24371,30,-200,1
11,3,25182,31,-2000,1
11,3,25982,32,100,0
11,3,26780,33,-600,1
11,3,27598,34,-1100,1
11,3,28405,35,-200,1
11,3,29226,36,-200,0
11,3,30017,37,-400,1
11,3,30817,38,-1500,0
11,3,31682,39,1000,0
11,3,32483,40,-600,1
11,3,33293,41,-2000,0
11,3,34121,42,500,0
11,3,34936,43,-600,1
11,3,35760,44,500,0
11,4,779,1,-1500,0
11,4,1626,2,-2000,0
11,4,2461,3,500,0
11,4,3277,4,-2000,0
11,4,4073,5,-500,1
11,4,4881,6,-2000,0
11,4,5693,7,100,0
11,4,6503,8,-800,1
11,4,7355,9,1000,0
