Subject,Session,index,Trial,SOA,Answer
13,1,816,1,-400,0
13,1,1638,2,-600,1
13,1,2450,3,100,0
13,1,3266,4,-200,1
13,1,4093,5,-600,1
13,1,4911,6,-200,1
13,1,5719,7,-800,0
13,1,6547,8,-800,1
13,1,7361,9,-200,1
13,1,8177,10,-1100,0
13,1,8981,11,-500,1
13,1,9782,12,-1100,0
13,1,10606,13,-1500,0
13,1,11465,14,1000,0
13,1,12268,15,-400,1
13,1,13070,16,-1100,1
13,1,13869,17,-400,1
13,1,14693,18,-800,1
13,1,15522,19,500,0
13,1,16334,20,-1500,1
13,1,17139,21,100,1
13,1,17938,22,-600,1
13,1,18738,23,-2000,0
13,1,19566,24,500,0
13,1,20424,25,1000,0
13,1,21225,26,-500,1
13,1,22025,27,-400,1
13,1,22827,28,-200,1
13,1,23732,29,500,1
13,1,24543,30,-500,1
13,1,25345,31,-2000,0
13,1,26144,32,-800,1
13,1,26946,33,-2000,0
13,1,27802,34,1000,0
13,1,28626,35,-1500,0
13,1,29423,36,-500,1
13,1,30253,37,500,1
13,1,31113,38,-1100,1
13,1,31952,39,-1500,0
13,1,32781,40,-2000,0
13,1,33641,41,1000,0
13,1,34474,42,-600,0
13,1,35275,43,100,1
13,1,36075,44,100,1
13,2,802,1,-500,1
13,2,1605,2,-500,1
13,2,2408,3,100,1
13,2,3208,4,-2000,0
13,2,4016,5,-200,1
13,2,4828,6,-500,1
13,2,5657,7,500,0
13,2,6454,8,-200,1
13,2,7254,9,-1500,0
13,2,8058,10,-800,1
13,2,8902,11,500,1
13,2,9732,12,500,0
13,2,10540,13,-2000,1
13,2,11348,14,-400,1
13,2,12156,15,-400,0
13,2,12966,16,-1100,0
13,2,13873,17,1000,1
13,2,14687,18,-600,0
13,2,15500,19,100,1
13,2,16322,20,-1100,1
13,2,17163,21,500,0
13,2,17968,22,-2000,0
13,2,18824,23,1000,0
13,2,19626,24,-800,1
13,2,20513,25,1000,1
13,2,21348,26,-1100,1
13,2,22186,27,-600,1
13,2,22985,28,-1500,0
