Subject,Session,index,Trial,SOA,Answer
2,1,803,1,-700,0
2,1,1621,2,100,0
2,1,2425,3,-250,0
2,1,3241,4,-350,1
2,1,4044,5,-200,0
2,1,4868,6,-150,0
2,1,5670,7,-500,0
2,1,6473,8,-500,0
2,1,7281,9,-250,1
2,1,8102,10,100,0
2,1,8905,11,-200,0
2,1,9715,12,-350,0
2,1,10527,13,300,0
2,1,11373,14,-1000,0
2,1,12181,15,100,0
2,1,12988,16,-200,1
2,1,13791,17,-50,0
2,1,14597,18,-150,0
2,1,15395,19,-150,1
2,1,16230,20,600,0
2,1,17050,21,-1000,0
2,1,17882,22,600,0
2,1,18683,23,-500,0
2,1,19479,24,-150,0
2,1,20281,25,-50,0
2,1,21095,26,300,0
2,1,21903,27,-700,0
2,1,22704,28,100,0
2,1,23505,29,-250,1
2,1,24316,30,300,0
2,1,25120,31,-350,0
2,1,25921,32,-1000,0
2,1,26721,33,-1000,0
2,1,27535,34,300,0
2,1,28336,35,-50,0
2,1,29136,36,-200,1
2,1,29938,37,-700,0
2,1,30739,38,-700,0
2,1,31571,39,600,0
2,1,32371,40,-250,1
2,1,33191,41,-500,0
2,1,33998,42,-350,0
2,1,34800,43,-50,0
2,1,35633,44,600,0
2,2,802,1,100,0
2,2,1615,2,-250,0
2,2,2428,3,300,0
2,2,3252,4,-50,1
2,2,4084,5,600,0
2,2,4925,6,-50,1
2,2,5724,7,-350,0
2,2,6523,8,-500,0
2,2,7322,9,-200,0
2,2,8147,10,-150,0
2,2,8971,11,-200,0
2,2,9784,12,100,0
2,2,10608,13,-350,0
2,2,11411,14,-150,1
2,2,12228,15,-500,0
2,2,13030,16,-50,0
2,2,13843,17,-700,0
2,2,14641,18,-1000,0
2,2,15442,19,-700,0
2,2,16243,20,-1000,0
2,2,17044,21,-50,0
2,2,17874,22,600,0
2,2,18686,23,-250,0
2,2,19484,24,-250,0
2,2,20281,25,-700,0
2,2,21109,26,300,0
2,2,21958,27,600,0
2,2,22800,28,-250,0
2,2,23601,29,-700,0
2,2,24414,30,-150,0
2,2,25229,31,100,0
2,2,26031,32,-500,1
2,2,26830,33,-500,0
2,2,27631,34,-1000,0
2,2,28435,35,100,0
2,2,29248,36,300,0
2,2,30074,37,300,1
2,2,30886,38,-200,0
2,2,31718,39,-150,0
2,2,32535,40,-350,0
2,2,33338,41,-1000,0
2,2,34139,42,-200,1
2,2,34966,43,-350,1
2,2,35800,44,600,0
2,3,799,1,-700,0
2,3,1598,2,-150,0
2,3,2410,3,-500,0
2,3,3226,4,-1000,0
2,3,4025,5,-250,1
2,3,4858,6,300,0
2,3,5673,7,-700,0
2,3,6487,8,-350,0
2,3,7353,9,600,0
2,3,8179,10,300,0
2,3,8994,11,-500,0
2,3,9818,12,-200,0
2,3,10630,13,300,0
2,3,11440,14,-500,0
2,3,12259,15,-50,0
2,3,13089,16,600,0
2,3,13887,17,-50,1
2,3,14687,18,-250,0
2,3,15487,19,-200,1
2,3,16295,20,-50,0
2,3,17095,21,-350,0
2,3,17893,22,-700,0
2,3,18694,23,-700,1
2,3,19501,24,-50,0
2,3,20337,25,-200,0
2,3,21144,26,-350,0
2,3,21977,27,600,0
2,3,22775,28,-1000,0
2,3,23573,29,-500,0
2,3,24372,30,-150,0
2,3,25171,31,100,0
2,3,25984,32,-150,0
2,3,26788,33,-1000,0
2,3,27587,34,-350,0
2,3,28389,35,100,0
2,3,29196,36,-200,0
2,3,30006,37,300,0
2,3,30805,38,-1000,0
2,3,31602,39,-150,0
2,3,32402,40,-250,1
2,3,33245,41,600,0
2,3,34044,42,100,0
2,3,34843,43,100,0
2,3,35643,44,-250,0
2,4,816,1,-1000,0
2,4,1648,2,-700,0
2,4,2467,3,-700,0
2,4,3267,4,-200,1
2,4,4066,5,-150,0
2,4,4894,6,600,0
2,4,5718,7,100,0
2,4,6568,8,-350,0
2,4,7381,9,-700,0
2,4,8180,10,-250,1
2,4,9018,11,300,0
2,4,9821,12,-1000,0
2,4,10669,13,-700,0
2,4,11490,14,300,0
2,4,12313,15,-350,0
2,4,13121,16,-200,1
2,4,13919,17,-500,0
2,4,14771,18,600,0
2,4,15596,19,-500,0
2,4,16427,20,600,0
2,4,17228,21,-350,0
2,4,18028,22,-150,0
2,4,18839,23,-50,0
2,4,19667,24,100,0
2,4,20478,25,-50,0
2,4,21276,26,-250,1
2,4,22079,27,-350,1
2,4,22879,28,-500,0
2,4,23678,29,100,0
2,4,24480,30,-250,0
2,4,25290,31,300,0
2,4,26087,32,-150,1
2,4,26886,33,-1000,0
2,4,27685,34,-1000,0
2,4,28484,35,-250,1
2,4,29282,36,100,0
2,4,30077,37,-50,0
2,4,30877,38,-150,0
2,4,31704,39,-200,0
2,4,32505,40,-500,0
2,4,33335,41,600,0
2,4,34147,42,300,0
2,4,34944,43,-200,0
2,4,35741,44,-50,0
2,5,830,1,600,0
2,5,1633,2,-50,0
2,5,1862,3,100,0
2,5,2659,4,-50,0
2,5,3492,5,-700,0
2,5,4291,6,-150,1
2,5,5103,7,300,0
2,5,5936,8,600,0
2,5,6741,9,100,0
2,5,7548,10,-150,1
2,5,8347,11,-200,1
2,5,9144,12,-200,1
2,5,9950,13,-200,0
2,5,10749,14,-1000,0
2,5,11548,15,100,0
2,5,12351,16,-150,0
2,5,13151,17,-1000,0
2,5,13962,18,300,0
2,5,14762,19,-700,0
2,5,15563,20,-500,0
2,5,16372,21,100,0
2,5,17214,22,-500,0
2,5,18021,23,-700,0
2,5,18834,24,300,0
2,5,19634,25,-250,0
2,5,20435,26,-250,0
2,5,21237,27,-350,1
2,5,22034,28,-150,1
2,5,22864,29,600,0
2,5,23695,30,600,0
2,5,24492,31,-50,0
2,5,25292,32,-700,0
2,5,26091,33,-1000,0
2,5,26898,34,-250,1
2,5,27700,35,-1000,0
2,5,28500,36,-200,0
2,5,29299,37,-350,0
2,5,30098,38,-350,1
2,5,30899,39,-50,0
2,5,31717,40,-500,1
2,5,32555,41,-350,0
2,5,33369,42,300,0
2,5,34170,43,-500,0
2,5,34990,44,-250,1
