Subject,Session,index,Trial,SOA,Answer
11,1,797,1,-700,0
11,1,1603,2,-200,0
11,1,2412,3,-500,1
11,1,3233,4,-50,0
11,1,4049,5,-150,1
11,1,4891,6,600,0
11,1,5695,7,100,0
11,1,6506,8,100,1
11,1,7318,9,-350,1
11,1,8144,10,300,0
11,1,8952,11,-350,1
11,1,9767,12,-50,1
11,1,10582,13,300,0
11,1,11387,14,-500,1
11,1,12195,15,-250,0
11,1,13008,16,-150,1
11,1,13814,17,-150,1
11,1,14615,18,-700,0
11,1,15419,19,-1000,0
11,1,16224,20,-250,1
11,1,17031,21,-500,1
11,1,17833,22,100,0
11,1,18638,23,-700,1
11,1,19473,24,600,0
11,1,20290,25,300,0
11,1,21095,26,-250,1
11,1,21897,27,-350,1
11,1,22698,28,-50,0
11,1,23501,29,-200,1
11,1,24303,30,-1000,0
11,1,25106,31,100,0
11,1,25916,32,-200,0
11,1,26723,33,-700,0
11,1,27559,34,600,0
11,1,28361,35,-50,1
11,1,29158,36,-350,1
11,1,29992,37,600,0
11,1,30793,38,-200,0
11,1,31593,39,-1000,0
11,1,32407,40,300,0
11,1,33212,41,-250,1
11,1,34012,42,-1000,0
11,1,34816,43,-500,1
11,1,35614,44,-150,0
11,2,805,1,-50,0
11,2,1642,2,600,0
11,2,2457,3,-250,0
11,2,3268,4,100,0
11,2,4079,5,-350,1
11,2,4889,6,-50,0
11,2,5694,7,-500,1
11,2,6501,8,-150,1
11,2,7307,9,-1000,0
11,2,8107,10,-350,1
11,2,8952,11,600,0
11,2,9759,12,-700,0
11,2,10559,13,-200,0
11,2,11361,14,-700,0
11,2,12171,15,-50,1
11,2,12987,16,-500,0
11,2,13794,17,-250,1
11,2,14614,18,300,0
11,2,15422,19,-1000,0
11,2,16223,20,-500,1
11,2,17034,21,-350,1
11,2,17842,22,-700,0
11,2,18643,23,-150,1
11,2,19447,24,-500,1
11,2,20244,25,-200,1
11,2,21049,26,-200,1
11,2,21852,27,-250,1
11,2,22669,28,300,0
11,2,23473,29,-50,0
11,2,24273,30,100,0
11,2,25077,31,-1000,1
11,2,25883,32,-150,1
11,2,26688,33,-250,1
11,2,27489,34,-200,1
11,2,28291,35,100,0
11,2,29104,36,300,0
11,2,29904,37,-150,1
11,2,30708,38,-350,1
11,2,31549,39,600,0
11,2,32353,40,100,0
11,2,33156,41,-1000,0
11,2,33956,42,-700,1
11,2,34767,43,300,0
11,2,35598,44,600,0
11,3,801,1,-1000,0
11,3,1616,2,-700,0
11,3,2421,3,-350,1
11,3,3223,4,-700,0
11,3,4031,5,-700,0
11,3,4849,6,300,0
11,3,5654,7,-700,0
11,3,6460,8,-1000,0
11,3,7266,9,-250,1
11,3,8068,10,100,0
11,3,8870,11,-350,1
11,3,9686,12,300,0
11,3,10487,13,-200,1
11,3,11293,14,-200,1
11,3,12096,15,-250,1
11,3,12896,16,-1000,0
11,3,13698,17,-50,1
11,3,14500,18,100,0
11,3,15304,19,-350,1
11,3,16111,20,-250,0
11,3,16950,21,600,0
11,3,17761,22,300,0
11,3,18562,23,-200,1
11,3,19366,24,-500,1
11,3,20177,25,-150,1
11,3,20981,26,-350,1
11,3,21793,27,-150,1
11,3,22600,28,-250,1
11,3,23412,29,-150,0
11,3,24247,30,600,0
11,3,25061,31,300,0
11,3,25862,32,-50,1
11,3,26665,33,-500,0
11,3,27463,34,100,1
11,3,28289,35,600,0
11,3,29123,36,600,0
11,3,29925,37,-500,1
11,3,30733,38,-50,1
11,3,31535,39,-1000,0
11,3,32346,40,100,0
11,3,33150,41,-50,1
11,3,33965,42,-500,1
11,3,34767,43,-150,1
11,3,35569,44,-200,1
11,4,841,1,600,0
11,4,1644,2,-50,1
11,4,2447,3,-250,1
11,4,3277,4,-200,1
11,4,4082,5,-150,0
11,4,4887,6,-150,0
11,4,5699,7,-200,0
11,4,6513,8,-250,0
11,4,7320,9,-50,1
11,4,8122,10,100,0
11,4,8933,11,-250,1
11,4,9747,12,300,0
11,4,10568,13,300,0
11,4,11372,14,-500,1
11,4,12206,15,600,0
11,4,13008,16,-200,1
11,4,13814,17,-700,0
11,4,14624,18,-250,1
11,4,15424,19,-350,1
11,4,16232,20,-200,1
11,4,17034,21,-500,0
11,4,17841,22,-350,1
11,4,18642,23,-700,0
11,4,19458,24,300,0
11,4,20266,25,-500,1
11,4,21069,26,-700,0
11,4,21869,27,-150,1
11,4,22677,28,-500,0
11,4,23477,29,-1000,0
11,4,24286,30,-350,1
11,4,25090,31,-1000,0
11,4,25900,32,300,0
11,4,26705,33,-50,1
11,4,27502,34,100,0
11,4,28301,35,-50,1
11,4,29133,36,600,0
11,4,29934,37,100,0
11,4,30737,38,-1000,0
11,4,31536,39,-1000,0
11,4,32338,40,-150,0
11,4,33136,41,-350,0
11,4,33969,42,600,0
11,4,34775,43,-700,0
11,4,35575,44,100,0
11,5,815,1,300,0
11,5,1616,2,-350,1
11,5,2421,3,-250,0
11,5,3257,4,600,0
11,5,4069,5,300,0
11,5,4871,6,-500,0
11,5,5666,7,100,0
11,5,6469,8,-200,1
11,5,7269,9,-350,1
11,5,8080,10,-50,0
11,5,8883,11,-150,0
11,5,9690,12,-1000,0
11,5,10527,13,600,0
11,5,11333,14,-500,1
11,5,12143,15,100,1
11,5,12945,16,-200,1
11,5,13751,17,-200,1
11,5,14573,18,-500,1
11,5,15368,19,100,0
11,5,16171,20,-700,0
11,5,16972,21,-1000,0
11,5,17786,22,-150,0
11,5,18592,23,-50,0
11,5,19394,24,100,0
11,5,20192,25,-700,0
11,5,21002,26,300,0
11,5,21806,27,-250,1
11,5,22609,28,-150,0
11,5,23453,29,600,0
11,5,24256,30,-1000,0
11,5,25059,31,-50,1
11,5,25860,32,-700,0
11,5,26661,33,-500,1
11,5,27461,34,-700,0
11,5,28300,35,600,0
11,5,29111,36,-350,1
11,5,29923,37,300,0
11,5,30725,38,-350,1
11,5,31528,39,-250,1
11,5,32329,40,-200,1
11,5,33130,41,-250,1
11,5,33931,42,-50,0
11,5,34728,43,-1000,0
11,5,35528,44,-150,0
